2020-09-07 19:48:26.800  INFO 15940 --- [http-nio-8081-exec-9] c.rest.controller.DepartmentController   : From Department application departmentController getById
2020-09-07 19:48:26.801  INFO 15940 --- [http-nio-8081-exec-9] com.rest.service.DepartmentServiceImpl   : From Department application department Service get department by id
2020-09-07 19:48:37.977  INFO 15940 --- [http-nio-8081-exec-10] c.rest.controller.DepartmentController   : From Department application departmentController updateDepartment
2020-09-07 19:48:37.978  INFO 15940 --- [http-nio-8081-exec-10] com.rest.service.DepartmentServiceImpl   : From Department application department Service update department
2020-09-07 19:48:38.086  INFO 15940 --- [http-nio-8081-exec-7] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:48:38.089  INFO 15940 --- [http-nio-8081-exec-7] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:48:41.285  INFO 15940 --- [http-nio-8081-exec-5] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:48:41.286  INFO 15940 --- [http-nio-8081-exec-5] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:48:50.810  INFO 15940 --- [http-nio-8081-exec-3] c.rest.controller.DepartmentController   : From Department application departmentController deleteById
2020-09-07 19:48:50.810  INFO 15940 --- [http-nio-8081-exec-3] com.rest.service.DepartmentServiceImpl   : From Department application department Service delete department by id
2020-09-07 19:48:50.916  INFO 15940 --- [http-nio-8081-exec-4] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:48:50.916  INFO 15940 --- [http-nio-8081-exec-4] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:48:53.759  INFO 15940 --- [http-nio-8081-exec-1] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:48:53.759  INFO 15940 --- [http-nio-8081-exec-1] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:48:57.839  INFO 15940 --- [http-nio-8081-exec-2] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:48:57.839  INFO 15940 --- [http-nio-8081-exec-2] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:48:57.863  INFO 15940 --- [http-nio-8081-exec-8] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:48:57.863  INFO 15940 --- [http-nio-8081-exec-8] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:48:59.922  INFO 15940 --- [http-nio-8081-exec-6] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:48:59.923  INFO 15940 --- [http-nio-8081-exec-6] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:49:05.197  INFO 15940 --- [http-nio-8081-exec-9] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:49:05.198  INFO 15940 --- [http-nio-8081-exec-9] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:49:05.222  INFO 15940 --- [http-nio-8081-exec-10] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:49:05.223  INFO 15940 --- [http-nio-8081-exec-10] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:49:36.400  INFO 15940 --- [http-nio-8081-exec-7] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:49:36.401  INFO 15940 --- [http-nio-8081-exec-7] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:49:40.825  INFO 15940 --- [http-nio-8081-exec-5] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:49:40.826  INFO 15940 --- [http-nio-8081-exec-5] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:49:40.852  INFO 15940 --- [http-nio-8081-exec-3] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:49:40.853  INFO 15940 --- [http-nio-8081-exec-3] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:49:50.836  INFO 15940 --- [http-nio-8081-exec-4] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
